ACTIVITY;;;
CATEGORY;SUB CATEGORY;POINT;satuan/oum
Persiapan;;;
;Aanwijzing;NOK/OK;lot
;Perijinan;NOK/OK;lot
Material Delivery;;;meter
;Material Kabel;AC-ADSS-SM-48C;meter
;Material Kabel;AC-ADSS-SM-96C;meter
;Material Kabel;AC-ADSS-SM-144C;meter
;Material Kabel;AC-ADSS-SM-288C;meter
;Material Kabel;AC-ADSS-SM-12C;meter
;Material Kabel;AC-ADSS-SM-24C;meter
;Material Kabel;AC-ADSS-SM-48C;meter
;Material Kabel;AC-ADSS-SM-96C;meter
;Material FDT/ODC;FDT-POLE-48C;pcs
;Material FDT/ODC;FDT-POLE-96C;pcs
;Material FDT/ODC;FDT-STDG-96C;pcs
;Material FDT/ODC;FDT-STDG-144C;pcs
;Material FDT/ODC;FDT-STDG-288C;pcs
;Material FAT/ODP;FAT-PB-8C-SOLID;pcs
;Material FAT/ODP;FAT-PB-16C-SOLID;pcs
;Material FAT/ODP;FAT-PDSTL-8;pcs
;Material FAT/ODP;FAT-PDSTL-16;pcs
;Material ACC TIANG;ACC-STAINLESS BELT;pcs
;Material ACC TIANG;ACC-SUSPENSION AYUN;pcs
;Material ACC TIANG;ACC-HELLICAL;pcs
;Material ACC TIANG;ACC-ANCHORING;pcs
;Material ACC TIANG;ACC-Bracket;pcs
;Material ACC TIANG;ACC-POLESTRAP SPIRAL;pcs
;Material TIANG;NP-6.0-100-1S;pcs
;Material TIANG;NP-7.0-140-2S;pcs
;Material TIANG;NP-7.0-140-3S;pcs
;Material TIANG;NP-9.0-140-3S;pcs
;Material TIANG;NP-CB-7.0-250;pcs
;Material TIANG;NP-CB-9.0-250;pcs
;Material PIPA;HDPE-40-33;meter
;Material PIPA;PIPE-BRIDGE;meter
;Material PIPA;RP-GALVANIS;meter
;Material OTB;Base Tray ODC;pcs
;Material OTB;OTB-SM-6;pcs
;Material OTB;OTB-SM-8;pcs
;Material OTB;OTB-SM-12;pcs
;Material OTB;OTB-SM-24;pcs
;Material OTB;OTB-SM-48;pcs
;Material OTB;OTB-SM-96;pcs
;Material OTB;OTB-SM-144;pcs
;Material OTB;OTB-SM-288;pcs
;Material CLOSUR;JC-OF-SM-12C;pcs
;Material CLOSUR;JC-OF-SM-24C;pcs
;Material CLOSUR;JC-OF-SM-48C;pcs
;Material CLOSUR;JC-OF-SM-96C;pcs
;Material CLOSUR;JC-OF-SM-144C;pcs
;Material CLOSUR;JC-OF-SM-288C;pcs
Instalasi;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-0.4;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-0.6;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-1.0;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-1.2;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-1.5;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);BCTR-ROCK;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);BD-SK;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-BRNG-HDPE-40-1;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-BRNG-HDPE-40-2;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-BRNG-HDPE-50-1;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-BRNG-HDPE-50-2;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-ROD;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-RV-1;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-RV-CONCRETE;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-DS-S1;meter
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-DS-COD1-M;meter
;PEMASANGAN SUBDUCT / HDPE / PIPA;HDPE-40-33;meter
;PEMASANGAN SUBDUCT / HDPE / PIPA;PIPE-BRIDGE;meter
;PEMASANGAN SUBDUCT / HDPE / PIPA;RP-GALVANIS;meter
;PEMBUATAN & PEMASANGAN HANDHOLE;MH-HH-170;pcs
;PEMBUATAN & PEMASANGAN HANDHOLE;MH-PIT-120;pcs
;PEMBUATAN & PEMASANGAN HANDHOLE;HH-PIT-80;pcs
;PEMBUATAN & PEMASANGAN HANDHOLE;HH-PIT-P-HA;pcs
;PEMBUATAN & PEMASANGAN HANDHOLE;HH-PIT-P-FAT;pcs
;PEMBUATAN & PEMASANGAN HANDHOLE;HH-PIT-P-FDT;pcs
;PEMBUATAN & PEMASANGAN HANDHOLE;MH-HH-REKONDISI;pcs
;PENARIKKAN KABEL FEEDER;AC-ADSS-SM-48C;meter
;PENARIKKAN KABEL FEEDER;AC-ADSS-SM-96C;meter
;PENARIKKAN KABEL FEEDER;AC-ADSS-SM-144C;meter
;PENARIKKAN KABEL FEEDER;AC-ADSS-SM-288C;meter
;PENARIKKAN KABEL DISTRIBUSI;AC-ADSS-SM-12C;meter
;PENARIKKAN KABEL DISTRIBUSI;AC-ADSS-SM-24C;meter
;PENARIKKAN KABEL DISTRIBUSI;AC-ADSS-SM-48C;meter
;PENARIKKAN KABEL DISTRIBUSI;AC-ADSS-SM-96C;meter
;PEMASANGAN TIANG 7m / 9m;NP-6.0-100-1S;pcs
;PEMASANGAN TIANG 7m / 9m;NP-7.0-140-2S;pcs
;PEMASANGAN TIANG 7m / 9m;NP-7.0-140-3S;pcs
;PEMASANGAN TIANG 7m / 9m;NP-9.0-140-3S;pcs
;PEMASANGAN TIANG 7m / 9m;NP-CB-7.0-250;pcs
;PEMASANGAN TIANG 7m / 9m;NP-CB-9.0-250;pcs
;PEMASANGAN ODC;FDT-POLE-48C;pcs
;PEMASANGAN ODC;FDT-POLE-96C;pcs
;PEMASANGAN ODC;FDT-STDG-96C;pcs
;PEMASANGAN ODC;FDT-STDG-144C;pcs
;PEMASANGAN ODC;FDT-STDG-288C;pcs
;PEMASANGAN ODP;FAT-PB-8C-SOLID;pcs
;PEMASANGAN ODP;FAT-PB-16C-SOLID;pcs
;PEMASANGAN ODP;FAT-PDSTL-8;pcs
;PEMASANGAN ODP;FAT-PDSTL-16;pcs
;PEMASANGAN DAN TERMINASI OTB;Base Tray ODC;pcs
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-6;pcs
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-8;pcs
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-12;pcs
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-24;pcs
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-48;pcs
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-96;pcs
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-144;pcs
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-288;pcs
;PEMASANGAN CLOSURE;JC-OF-SM-12C;pcs
;PEMASANGAN CLOSURE;JC-OF-SM-24C;pcs
;PEMASANGAN CLOSURE;JC-OF-SM-48C;pcs
;PEMASANGAN CLOSURE;JC-OF-SM-96C;pcs
;PEMASANGAN CLOSURE;JC-OF-SM-144C;pcs
;PEMASANGAN CLOSURE;JC-OF-SM-288C;pcs
;PEMASANGAN AKSESORIS;ACC-STAINLESS BELT;pcs
;PEMASANGAN AKSESORIS;ACC-SUSPENSION AYUN;pcs
;PEMASANGAN AKSESORIS;ACC-HELLICAL;pcs
;PEMASANGAN AKSESORIS;ACC-ANCHORING;pcs
;PEMASANGAN AKSESORIS;ACC-Bracket;pcs
;PEMASANGAN AKSESORIS;ACC-POLESTRAP SPIRAL;pcs
;TERMINASI ODC;FS-OF-SM;titik
;TERMINASI ODC;NN-OTDR-CORE;titik
;TERMINASI ODC;NN-CO-CORE;titik
;TERMINASI ODP;FS-OF-SM;titik
;TERMINASI ODP;NN-CO-CORE;titik
;TERMINASI CLOSURE;FS-OF-SM;titik
;TERMINASI CLOSURE;NN-CO-CORE;titik
;PEMASANGAN IKR/IKG;-;
;INSTALASI FTM;-;
;INSTALASI JUMPER FTM (OLT-FEEDER);-;
Finish Instalation;;;
;PERAPIHAN & LABELLING ;? upload EVIDEN PEMASANGAN LABEL;lot
;ATP ;? upload Berkas ATP lengkap ;lot
;ATP ;? upload KML Realisasi;lot
;ATP ;? upload BOQ;lot
;ATP ;? upload ACAD;lot
;ATP ;? upload BARM (Rekon Material);lot
Closing;;;
;PUNCHLIST;INPUT MANUAL LIST PUNCLIST AMBIL DARI SUB KATEGORI INSTALASI;Item
;CLOSED;UPLOAD INVOICE KHUSUS ADMIN;lot
