ACTIVITY;;
CATEGORY;SUB CATEGORY;POINT
Persiapan;;
;Aanwijzing;NOK/OK
;Perijinan;NOK/OK
Material Delivery;;
;Material Kabel;AC-ADSS-SM-48C
;Material Kabel;AC-ADSS-SM-96C
;Material Kabel;AC-ADSS-SM-144C
;Material Kabel;AC-ADSS-SM-288C
;Material Kabel;AC-ADSS-SM-12C
;Material Kabel;AC-ADSS-SM-24C
;Material Kabel;AC-ADSS-SM-48C
;Material Kabel;AC-ADSS-SM-96C
;Material FDT/ODC;FDT-POLE-48C
;Material FDT/ODC;FDT-POLE-96C
;Material FDT/ODC;FDT-STDG-96C
;Material FDT/ODC;FDT-STDG-144C
;Material FDT/ODC;FDT-STDG-288C
;Material FAT/ODP;FAT-PB-8C-SOLID
;Material FAT/ODP;FAT-PB-16C-SOLID
;Material FAT/ODP;FAT-PDSTL-8
;Material FAT/ODP;FAT-PDSTL-16
;Material ACC TIANG;ACC-STAINLESS BELT
;Material ACC TIANG;ACC-SUSPENSION AYUN
;Material ACC TIANG;ACC-HELLICAL
;Material ACC TIANG;ACC-ANCHORING
;Material ACC TIANG;ACC-Bracket
;Material ACC TIANG;ACC-POLESTRAP SPIRAL
;Material TIANG;NP-6.0-100-1S
;Material TIANG;NP-7.0-140-2S
;Material TIANG;NP-7.0-140-3S
;Material TIANG;NP-9.0-140-3S
;Material TIANG;NP-CB-7.0-250
;Material TIANG;NP-CB-9.0-250
;Material PIPA;HDPE-40-33
;Material PIPA;PIPE-BRIDGE
;Material PIPA;RP-GALVANIS
;Material OTB;Base Tray ODC
;Material OTB;OTB-SM-6
;Material OTB;OTB-SM-8
;Material OTB;OTB-SM-12
;Material OTB;OTB-SM-24
;Material OTB;OTB-SM-48
;Material OTB;OTB-SM-96
;Material OTB;OTB-SM-144
;Material OTB;OTB-SM-288
;Material CLOSUR;JC-OF-SM-12C
;Material CLOSUR;JC-OF-SM-24C
;Material CLOSUR;JC-OF-SM-48C
;Material CLOSUR;JC-OF-SM-96C
;Material CLOSUR;JC-OF-SM-144C
;Material CLOSUR;JC-OF-SM-288C
Instalasi;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-0.4
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-0.6
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-1.0
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-1.2
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);EXCAVATION-1.5
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);BCTR-ROCK
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);BD-SK
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-BRNG-HDPE-40-1
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-BRNG-HDPE-40-2
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-BRNG-HDPE-50-1
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-BRNG-HDPE-50-2
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-ROD
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-RV-1
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-RV-CONCRETE
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-DS-S1
;BC-TR (GALIAN) / BORING MANUAL / ROJOK (DD-BM);DD-DS-COD1-M
;PEMASANGAN SUBDUCT / HDPE / PIPA;HDPE-40-33
;PEMASANGAN SUBDUCT / HDPE / PIPA;PIPE-BRIDGE
;PEMASANGAN SUBDUCT / HDPE / PIPA;RP-GALVANIS
;PEMBUATAN & PEMASANGAN HANDHOLE;MH-HH-170
;PEMBUATAN & PEMASANGAN HANDHOLE;MH-PIT-120
;PEMBUATAN & PEMASANGAN HANDHOLE;HH-PIT-80
;PEMBUATAN & PEMASANGAN HANDHOLE;HH-PIT-P-HA
;PEMBUATAN & PEMASANGAN HANDHOLE;HH-PIT-P-FAT
;PEMBUATAN & PEMASANGAN HANDHOLE;HH-PIT-P-FDT
;PEMBUATAN & PEMASANGAN HANDHOLE;MH-HH-REKONDISI
;PENARIKKAN KABEL FEEDER;AC-ADSS-SM-48C
;PENARIKKAN KABEL FEEDER;AC-ADSS-SM-96C
;PENARIKKAN KABEL FEEDER;AC-ADSS-SM-144C
;PENARIKKAN KABEL FEEDER;AC-ADSS-SM-288C
;PENARIKKAN KABEL DISTRIBUSI;AC-ADSS-SM-12C
;PENARIKKAN KABEL DISTRIBUSI;AC-ADSS-SM-24C
;PENARIKKAN KABEL DISTRIBUSI;AC-ADSS-SM-48C
;PENARIKKAN KABEL DISTRIBUSI;AC-ADSS-SM-96C
;PEMASANGAN TIANG 7m / 9m;NP-6.0-100-1S
;PEMASANGAN TIANG 7m / 9m;NP-7.0-140-2S
;PEMASANGAN TIANG 7m / 9m;NP-7.0-140-3S
;PEMASANGAN TIANG 7m / 9m;NP-9.0-140-3S
;PEMASANGAN TIANG 7m / 9m;NP-CB-7.0-250
;PEMASANGAN TIANG 7m / 9m;NP-CB-9.0-250
;PEMASANGAN ODC;FDT-POLE-48C
;PEMASANGAN ODC;FDT-POLE-96C
;PEMASANGAN ODC;FDT-STDG-96C
;PEMASANGAN ODC;FDT-STDG-144C
;PEMASANGAN ODC;FDT-STDG-288C
;PEMASANGAN ODP;FAT-PB-8C-SOLID
;PEMASANGAN ODP;FAT-PB-16C-SOLID
;PEMASANGAN ODP;FAT-PDSTL-8
;PEMASANGAN ODP;FAT-PDSTL-16
;PEMASANGAN DAN TERMINASI OTB;Base Tray ODC
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-6
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-8
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-12
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-24
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-48
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-96
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-144
;PEMASANGAN DAN TERMINASI OTB;OTB-SM-288
;PEMASANGAN CLOSURE;JC-OF-SM-12C
;PEMASANGAN CLOSURE;JC-OF-SM-24C
;PEMASANGAN CLOSURE;JC-OF-SM-48C
;PEMASANGAN CLOSURE;JC-OF-SM-96C
;PEMASANGAN CLOSURE;JC-OF-SM-144C
;PEMASANGAN CLOSURE;JC-OF-SM-288C
;PEMASANGAN AKSESORIS;ACC-STAINLESS BELT
;PEMASANGAN AKSESORIS;ACC-SUSPENSION AYUN
;PEMASANGAN AKSESORIS;ACC-HELLICAL
;PEMASANGAN AKSESORIS;ACC-ANCHORING
;PEMASANGAN AKSESORIS;ACC-Bracket
;PEMASANGAN AKSESORIS;ACC-POLESTRAP SPIRAL
;TERMINASI ODC;FS-OF-SM
;TERMINASI ODC;NN-OTDR-CORE
;TERMINASI ODC;NN-CO-CORE
;TERMINASI ODP;FS-OF-SM
;TERMINASI ODP;NN-CO-CORE
;TERMINASI CLOSURE;FS-OF-SM
;TERMINASI CLOSURE;NN-CO-CORE
;PEMASANGAN IKR/IKG;-
;INSTALASI FTM;-
;INSTALASI JUMPER FTM (OLT-FEEDER);-
Finish Instalation;;
;PERAPIHAN & LABELLING ;? upload EVIDEN PEMASANGAN LABEL
;ATP ;? upload Berkas ATP lengkap 
;ATP ;? upload KML Realisasi
;ATP ;? upload BOQ
;ATP ;? upload ACAD
;ATP ;? upload BARM (Rekon Material)
Closing;;
;PUNCHLIST;INPUT MANUAL LIST PUNCLIST AMBIL DARI SUB KATEGORI INSTALASI
;CLOSED;UPLOAD INVOICE KHUSUS ADMIN
